"root_dir","p_index","mode","puckid","pinid","sample_name","wavelength","raster_vbeam","raster_hbeam","att_raster","hebi_att","exp_raster","dist_raster","loopsize","score_min","score_max","maxhits","total_osc","osc_width","ds_vbeam","ds_hbeam","exp_ds","dist_ds","dose_ds","offset_angle","reduced_fact","ntimes","meas_name","cry_min_size_um","cry_max_size_um","hel_full_osc","hel_part_osc","isSkip","isMount","isLoopCenter","isRaster","isDS","scan_height","scan_width","n_mount","nds_multi","nds_helical","nds_helpart","t_meas_start","t_mount_end","t_cent_start","t_cent_end","t_raster_start","t_raster_end","t_ds_start","t_ds_end","t_dismount_start","t_dismount_end","Resolution",
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2353",6,"SN_CMT_L28_1",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.50,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2353",7,"SN_CMT_L28_2",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.50,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2353",8,"SN_CMT_L28_3",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.50,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2353",9,"SN_CMT_L28_4",1,20,20,50,50,0.02,180,100,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.50,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2354",7,"TY_KRw127",1,20,20,50,50,0.02,180,350,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.30,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2354",8,"TY_KRw127",1,20,20,50,50,0.02,180,350,10,100,5,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.30,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2354",9,"TY_KRw127",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.30,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2354",10,"TY_KRw127",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.30,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2354",11,"TY_KRw127",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.30,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2354",12,"TY_KRw127",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.30,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2354",13,"TY_KRw127",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.30,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2354",14,"TY_KRw127",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.30,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"single","2354",1,"TY_KRm127",1,20,20,50,50,0.02,180,100,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.30,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2354",2,"TY_KRm127",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.30,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2354",3,"TY_KRm127",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.30,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"single","2354",4,"TY_KRm127",1,20,20,50,50,0.02,180,100,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.30,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2354",5,"TY_KRm127",1,20,20,50,50,0.02,180,350,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.30,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","2354",6,"TY_KRm127",1,20,20,50,50,0.02,180,350,10,100,1,180,0.1,20,20,0.02,220,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",1.30,220
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","1392",13,"hk_ST_SIK_L019",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,430,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",2.30,430
"/isilon/users/admin45/admin45/190619_BL45XU",1,"helical","1392",14,"hk_ST_SIK_L019",1,20,20,50,50,0.02,180,200,10,100,1,180,0.1,20,20,0.02,430,10,0,1,1,"normal_collection",20,20,40,60,0,0,0,0,0,0,0,0,0,"none","none","none","none","none","none","none","none","none","none","none","none",2.30,430
