-0.04500  0.15750
-0.04500  0.15750
-0.11500  0.14250
-0.11500  0.14250
-0.05500  0.11250
-0.05500  0.11250
 0.08500  0.09750
 0.08500  0.09750
-0.16500  0.08250
-0.16500  0.08250
-0.15500  0.05250
-0.15500  0.05250
-0.03500  0.05250
-0.03500  0.05250
-0.01679  0.03214
-0.01500  0.03750
-0.09725  0.02673
-0.10500  0.02250
-0.13317 -0.01080
-0.12500 -0.00750
-0.01500 -0.00750
-0.01500 -0.00750
-0.18598 -0.04926
-0.17500 -0.05250
-0.05500 -0.03750
-0.05500 -0.03750
-0.11094 -0.05508
-0.11500 -0.05250
-0.06066 -0.08250
-0.05500 -0.08250
-0.15000 -0.10377
-0.15500 -0.09750
-0.11500 -0.14250
-0.11500 -0.14250
-0.01500 -0.15750
-0.01500 -0.15750
 0.00500 -0.15750
 0.00500 -0.15750
-0.12500 -0.18750
-0.12500 -0.18750
-0.04500 -0.18750
-0.04500 -0.18750
 0.01500 -0.19467
 0.01500 -0.18750
-0.09500 -0.20250
-0.09500 -0.20250
-0.05500 -0.21750
-0.05500 -0.21750
 0.05500 -0.21750
 0.05500 -0.21750
