-720.00 deg   -0.2932  -10.6531   -0.7941
-690.00 deg   -0.0979  -10.5903   -1.1322
-660.00 deg    0.4141  -11.2108   -1.4278
-630.00 deg   -0.3389  -11.5357   -1.4278
-600.00 deg   -0.3389  -11.5357   -1.4278
-570.00 deg   -0.3389  -11.5357   -1.4278
-540.00 deg   -0.3389  -11.6291   -2.1808
-510.00 deg   -0.4630  -10.8606   -1.9658
-480.00 deg   -0.0064  -10.3264   -2.2293
-450.00 deg   -0.0064  -10.3264   -2.2293
-420.00 deg   -0.0064  -10.3264   -2.2293
-390.00 deg   -0.0064  -10.3264   -2.2293
-360.00 deg   -0.0064  -11.1310   -1.5626
-330.00 deg   -0.1347  -10.6749   -1.3403
-300.00 deg    0.1841  -10.5981   -1.5243
-270.00 deg    0.7754  -11.2298   -1.5243
-240.00 deg    1.0241  -10.6677   -1.3806
-210.00 deg    1.1872  -10.5993   -1.0979
-180.00 deg    1.1872  -10.5811   -0.7994
-150.00 deg    1.0714  -10.5824   -0.5989
-120.00 deg    0.9047  -10.5810   -0.5026
-90.00 deg    0.7457  -10.5823   -0.5026
-60.00 deg    0.6394  -10.5836   -0.5639
-30.00 deg    0.5850  -10.5849   -0.6581
 0.00 deg    0.5850  -10.5835   -0.7445
30.00 deg    0.6226  -10.5848   -0.8097
60.00 deg    0.6757  -10.5861   -0.8403
90.00 deg    0.7231  -10.5847   -0.8403
120.00 deg    0.7569  -10.5860   -0.8207
150.00 deg    0.7736  -10.5873   -0.7917
180.00 deg    0.7736  -10.5859   -0.7665
210.00 deg    0.7596  -10.5845   -0.7423
240.00 deg    0.7426  -10.5803   -0.7325
270.00 deg    0.7286  -10.5789   -0.7325
300.00 deg    0.7189  -10.5775   -0.7380
330.00 deg    0.7161  -10.5761   -0.7428
360.00 deg    0.7161  -10.5774   -0.7483
390.00 deg    0.7188  -10.5787   -0.7531
420.00 deg    0.7236  -10.5800   -0.7558
450.00 deg    0.7263  -10.5813   -0.7557
480.00 deg    0.7262  -10.5826   -0.7557
510.00 deg    0.7248  -10.5839   -0.7581
540.00 deg    0.7248  -10.5852   -0.7636
570.00 deg    0.7248  -10.5838   -0.7636
600.00 deg    0.7272  -10.5824   -0.7649
630.00 deg    0.7272  -10.5782   -0.7649
660.00 deg    0.7296  -10.5768   -0.7635
690.00 deg    0.7351  -10.5754   -0.7538
