prefix x y kind data filename
2d_ -0.0700  0.3075 total_integrated_signal 0 2d_000049.img
2d_ -0.0700  0.3075 median_integrated_signal nan 2d_000049.img
2d_  0.1900  0.3075 n_spots 0 2d_000023.img
2d_  0.1900  0.3075 total_integrated_signal 0 2d_000023.img
2d_  0.1900  0.3075 median_integrated_signal nan 2d_000023.img
2d_  0.1600  0.3075 n_spots 0 2d_000026.img
2d_  0.1600  0.3075 total_integrated_signal 0 2d_000026.img
2d_  0.1600  0.3075 median_integrated_signal nan 2d_000026.img
2d_  0.1300  0.3075 n_spots 0 2d_000029.img
2d_  0.1300  0.3075 total_integrated_signal 0 2d_000029.img
2d_  0.1300  0.3075 median_integrated_signal nan 2d_000029.img
2d_  0.1800  0.3075 n_spots 0 2d_000024.img
2d_  0.1800  0.3075 total_integrated_signal 0 2d_000024.img
2d_  0.1800  0.3075 median_integrated_signal nan 2d_000024.img
2d_  0.0700  0.3075 n_spots 0 2d_000035.img
2d_  0.0700  0.3075 total_integrated_signal 0 2d_000035.img
2d_  0.0700  0.3075 median_integrated_signal nan 2d_000035.img
2d_ -0.0600  0.3075 n_spots 0 2d_000048.img
2d_ -0.0600  0.3075 total_integrated_signal 0 2d_000048.img
2d_ -0.0600  0.3075 median_integrated_signal nan 2d_000048.img
2d_  0.0000  0.3075 n_spots 0 2d_000042.img
2d_  0.0000  0.3075 total_integrated_signal 0 2d_000042.img
2d_  0.0000  0.3075 median_integrated_signal nan 2d_000042.img
2d_ -0.1000  0.3075 n_spots 0 2d_000052.img
2d_ -0.1000  0.3075 total_integrated_signal 0 2d_000052.img
2d_ -0.1000  0.3075 median_integrated_signal nan 2d_000052.img
2d_  0.0300  0.3075 n_spots 0 2d_000039.img
2d_  0.0300  0.3075 total_integrated_signal 0 2d_000039.img
2d_  0.0300  0.3075 median_integrated_signal nan 2d_000039.img
2d_ -0.1200  0.3075 n_spots 0 2d_000054.img
2d_ -0.1200  0.3075 total_integrated_signal 0 2d_000054.img
2d_ -0.1200  0.3075 median_integrated_signal nan 2d_000054.img
2d_ -0.1100  0.3075 n_spots 0 2d_000053.img
2d_ -0.1100  0.3075 total_integrated_signal 0 2d_000053.img
2d_ -0.1100  0.3075 median_integrated_signal nan 2d_000053.img
2d_  0.1400  0.3075 n_spots 0 2d_000028.img
2d_  0.1400  0.3075 total_integrated_signal 0 2d_000028.img
2d_  0.1400  0.3075 median_integrated_signal nan 2d_000028.img
2d_  0.1200  0.3075 n_spots 0 2d_000030.img
2d_  0.1200  0.3075 total_integrated_signal 0 2d_000030.img
2d_  0.1200  0.3075 median_integrated_signal nan 2d_000030.img
2d_  0.0100  0.3075 n_spots 0 2d_000041.img
2d_  0.0100  0.3075 total_integrated_signal 0 2d_000041.img
2d_  0.0100  0.3075 median_integrated_signal nan 2d_000041.img
2d_  0.1500  0.3075 n_spots 0 2d_000027.img
2d_  0.1500  0.3075 total_integrated_signal 0 2d_000027.img
2d_  0.1500  0.3075 median_integrated_signal nan 2d_000027.img
2d_ -0.1400  0.3075 n_spots 0 2d_000056.img
2d_ -0.1400  0.3075 total_integrated_signal 0 2d_000056.img
2d_ -0.1400  0.3075 median_integrated_signal nan 2d_000056.img
2d_  0.1100  0.3075 n_spots 0 2d_000031.img
2d_  0.1100  0.3075 total_integrated_signal 0 2d_000031.img
2d_  0.1100  0.3075 median_integrated_signal nan 2d_000031.img
2d_ -0.1300  0.3075 n_spots 0 2d_000055.img
2d_ -0.1300  0.3075 total_integrated_signal 0 2d_000055.img
2d_ -0.1300  0.3075 median_integrated_signal nan 2d_000055.img
2d_ -0.0800  0.3075 n_spots 0 2d_000050.img
2d_ -0.0800  0.3075 total_integrated_signal 0 2d_000050.img
2d_ -0.0800  0.3075 median_integrated_signal nan 2d_000050.img
2d_  0.1000  0.3075 n_spots 0 2d_000032.img
2d_  0.1000  0.3075 total_integrated_signal 0 2d_000032.img
2d_  0.1000  0.3075 median_integrated_signal nan 2d_000032.img
2d_ -0.1600  0.3075 n_spots 0 2d_000058.img
2d_ -0.1600  0.3075 total_integrated_signal 0 2d_000058.img
2d_ -0.1600  0.3075 median_integrated_signal nan 2d_000058.img
2d_ -0.1700  0.3075 n_spots 0 2d_000059.img
2d_ -0.1700  0.3075 total_integrated_signal 0 2d_000059.img
2d_ -0.1700  0.3075 median_integrated_signal nan 2d_000059.img
2d_ -0.1800  0.3075 n_spots 0 2d_000060.img
2d_ -0.1800  0.3075 total_integrated_signal 0 2d_000060.img
2d_ -0.1800  0.3075 median_integrated_signal nan 2d_000060.img
2d_ -0.1900  0.3075 n_spots 0 2d_000061.img
2d_ -0.1900  0.3075 total_integrated_signal 0 2d_000061.img
2d_ -0.1900  0.3075 median_integrated_signal nan 2d_000061.img
2d_  0.1700  0.3075 n_spots 0 2d_000025.img
2d_  0.1700  0.3075 total_integrated_signal 0 2d_000025.img
2d_  0.1700  0.3075 median_integrated_signal nan 2d_000025.img
2d_ -0.1500  0.3075 n_spots 0 2d_000057.img
2d_ -0.1500  0.3075 total_integrated_signal 0 2d_000057.img
2d_ -0.1500  0.3075 median_integrated_signal nan 2d_000057.img
2d_ -0.0900  0.3075 n_spots 0 2d_000051.img
2d_ -0.0900  0.3075 total_integrated_signal 0 2d_000051.img
2d_ -0.0900  0.3075 median_integrated_signal nan 2d_000051.img
2d_ -0.2200  0.3075 n_spots 0 2d_000064.img
2d_ -0.2200  0.3075 total_integrated_signal 0 2d_000064.img
2d_ -0.2200  0.3075 median_integrated_signal nan 2d_000064.img
2d_ -0.2000  0.3075 n_spots 0 2d_000062.img
2d_ -0.2000  0.3075 total_integrated_signal 0 2d_000062.img
2d_ -0.2000  0.3075 median_integrated_signal nan 2d_000062.img
2d_ -0.2900  0.3075 n_spots 0 2d_000071.img
2d_ -0.2900  0.3075 total_integrated_signal 0 2d_000071.img
2d_ -0.2900  0.3075 median_integrated_signal nan 2d_000071.img
2d_ -0.2100  0.3075 n_spots 0 2d_000063.img
2d_ -0.2100  0.3075 total_integrated_signal 0 2d_000063.img
2d_ -0.2100  0.3075 median_integrated_signal nan 2d_000063.img
2d_ -0.2400  0.3075 n_spots 0 2d_000066.img
2d_ -0.2400  0.3075 total_integrated_signal 0 2d_000066.img
2d_ -0.2400  0.3075 median_integrated_signal nan 2d_000066.img
2d_ -0.2600  0.3075 n_spots 0 2d_000068.img
2d_ -0.2600  0.3075 total_integrated_signal 0 2d_000068.img
2d_ -0.2600  0.3075 median_integrated_signal nan 2d_000068.img
2d_ -0.2500  0.3075 n_spots 0 2d_000067.img
2d_ -0.2500  0.3075 total_integrated_signal 0 2d_000067.img
2d_ -0.2500  0.3075 median_integrated_signal nan 2d_000067.img
2d_ -0.2300  0.3075 n_spots 0 2d_000065.img
2d_ -0.2300  0.3075 total_integrated_signal 0 2d_000065.img
2d_ -0.2300  0.3075 median_integrated_signal nan 2d_000065.img
2d_ -0.2800  0.3075 n_spots 0 2d_000070.img
2d_ -0.2800  0.3075 total_integrated_signal 0 2d_000070.img
2d_ -0.2800  0.3075 median_integrated_signal nan 2d_000070.img
2d_ -0.2700  0.3075 n_spots 0 2d_000069.img
2d_ -0.2700  0.3075 total_integrated_signal 0 2d_000069.img
2d_ -0.2700  0.3075 median_integrated_signal nan 2d_000069.img
2d_ -0.3200  0.3075 n_spots 0 2d_000074.img
2d_ -0.3200  0.3075 total_integrated_signal 0 2d_000074.img
2d_ -0.3200  0.3075 median_integrated_signal nan 2d_000074.img
2d_ -0.3000  0.3075 n_spots 0 2d_000072.img
2d_ -0.3000  0.3075 total_integrated_signal 0 2d_000072.img
2d_ -0.3000  0.3075 median_integrated_signal nan 2d_000072.img
2d_ -0.3600  0.3075 n_spots 0 2d_000078.img
2d_ -0.3600  0.3075 total_integrated_signal 0 2d_000078.img
2d_ -0.3600  0.3075 median_integrated_signal nan 2d_000078.img
2d_ -0.3700  0.3075 n_spots 0 2d_000079.img
2d_ -0.3700  0.3075 total_integrated_signal 0 2d_000079.img
2d_ -0.3700  0.3075 median_integrated_signal nan 2d_000079.img
2d_ -0.3500  0.3075 n_spots 0 2d_000077.img
2d_ -0.3500  0.3075 total_integrated_signal 0 2d_000077.img
2d_ -0.3500  0.3075 median_integrated_signal nan 2d_000077.img
2d_ -0.3800  0.3075 n_spots 0 2d_000080.img
2d_ -0.3800  0.3075 total_integrated_signal 0 2d_000080.img
2d_ -0.3800  0.3075 median_integrated_signal nan 2d_000080.img
2d_ -0.4000  0.3075 n_spots 0 2d_000082.img
2d_ -0.4000  0.3075 total_integrated_signal 0 2d_000082.img
2d_ -0.4000  0.3075 median_integrated_signal nan 2d_000082.img
2d_ -0.3100  0.3075 n_spots 0 2d_000073.img
2d_ -0.3100  0.3075 total_integrated_signal 0 2d_000073.img
2d_ -0.3100  0.3075 median_integrated_signal nan 2d_000073.img
2d_ -0.3400  0.3075 n_spots 0 2d_000076.img
2d_ -0.3400  0.3075 total_integrated_signal 0 2d_000076.img
2d_ -0.3400  0.3075 median_integrated_signal nan 2d_000076.img
2d_ -0.3900  0.3075 n_spots 0 2d_000081.img
2d_ -0.3900  0.3075 total_integrated_signal 0 2d_000081.img
2d_ -0.3900  0.3075 median_integrated_signal nan 2d_000081.img
2d_ -0.3300  0.3075 n_spots 0 2d_000075.img
2d_ -0.3300  0.3075 total_integrated_signal 0 2d_000075.img
2d_ -0.3300  0.3075 median_integrated_signal nan 2d_000075.img
2d_ -0.4100  0.3075 n_spots 0 2d_000083.img
2d_ -0.4100  0.3075 total_integrated_signal 0 2d_000083.img
2d_ -0.4100  0.3075 median_integrated_signal nan 2d_000083.img
2d_ -0.4000  0.2925 n_spots 0 2d_000085.img
2d_ -0.4000  0.2925 total_integrated_signal 0 2d_000085.img
2d_ -0.4000  0.2925 median_integrated_signal nan 2d_000085.img
2d_ -0.3900  0.2925 n_spots 0 2d_000086.img
2d_ -0.3900  0.2925 total_integrated_signal 0 2d_000086.img
2d_ -0.3900  0.2925 median_integrated_signal nan 2d_000086.img
2d_ -0.3400  0.2925 n_spots 0 2d_000091.img
2d_ -0.3400  0.2925 total_integrated_signal 0 2d_000091.img
2d_ -0.3400  0.2925 median_integrated_signal nan 2d_000091.img
2d_ -0.3700  0.2925 n_spots 0 2d_000088.img
2d_ -0.3700  0.2925 total_integrated_signal 0 2d_000088.img
2d_ -0.3700  0.2925 median_integrated_signal nan 2d_000088.img
2d_ -0.4100  0.2925 n_spots 0 2d_000084.img
2d_ -0.4100  0.2925 total_integrated_signal 0 2d_000084.img
2d_ -0.4100  0.2925 median_integrated_signal nan 2d_000084.img
2d_ -0.3800  0.2925 n_spots 0 2d_000087.img
2d_ -0.3800  0.2925 total_integrated_signal 0 2d_000087.img
2d_ -0.3800  0.2925 median_integrated_signal nan 2d_000087.img
2d_ -0.3600  0.2925 n_spots 0 2d_000089.img
2d_ -0.3600  0.2925 total_integrated_signal 0 2d_000089.img
2d_ -0.3600  0.2925 median_integrated_signal nan 2d_000089.img
2d_ -0.3500  0.2925 n_spots 0 2d_000090.img
2d_ -0.3500  0.2925 total_integrated_signal 0 2d_000090.img
2d_ -0.3500  0.2925 median_integrated_signal nan 2d_000090.img
2d_ -0.3300  0.2925 n_spots 0 2d_000092.img
2d_ -0.3300  0.2925 total_integrated_signal 0 2d_000092.img
2d_ -0.3300  0.2925 median_integrated_signal nan 2d_000092.img
2d_ -0.3200  0.2925 n_spots 0 2d_000093.img
2d_ -0.3200  0.2925 total_integrated_signal 0 2d_000093.img
2d_ -0.3200  0.2925 median_integrated_signal nan 2d_000093.img
2d_ -0.3100  0.2925 n_spots 0 2d_000094.img
